image_name,leg_length,torso_length,shoulder_width,hip_width
MPPS\MPPS\men\ak3.jpeg,0.36551267508410024,0.2808057095802822,0.2510972302977382,0.14240992894445584
MPPS\MPPS\men\akclose.jpeg,0.38573344374758545,0.30971186010457175,0.29480168184088257,0.1523080992314222
MPPS\MPPS\men\akfar.jpeg,0.2555700232520504,0.18713126180097578,0.16944402721883178,0.09846622893869857
MPPS\MPPS\men\Screenshot 2024-11-17 001937.png,0.44232624036529083,0.26385117568782074,0.22343868810902473,0.12895427384431063
MPPS\MPPS\men\Screenshot 2024-11-17 001956.png,0.46523027760677577,0.2796365992174832,0.3134081730369877,0.1655127589263313
MPPS\MPPS\men\Screenshot 2024-11-17 002017.png,0.44767772626617514,0.2684075294446524,0.4032344237060518,0.21969693736686696
MPPS\MPPS\men\Screenshot 2024-11-17 013244.png,0.4210009749235861,0.2816510636616979,0.3045590936526895,0.17529700235845924
MPPS\MPPS\men\Screenshot 2024-11-17 013356.png,0.4398677807845814,0.2986385358135683,0.41068591395924936,0.24184946679192296
MPPS\MPPS\men\Screenshot 2024-11-17 013430.png,0.46994994151254044,0.32574218842020247,0.3627890348676342,0.20581627522659826
MPPS\MPPS\men\Screenshot 2024-11-17 013527.png,0.42837764437602527,0.292189478446236,0.3616780168499384,0.21346785740174248
MPPS\MPPS\men\Screenshot 2024-11-17 013555.png,0.43412420991317874,0.29885901548172966,0.3858244272382863,0.22190028626830532
MPPS\MPPS\men\Screenshot 2024-11-17 013625.png,0.4383027547742697,0.29403379429697335,0.3906799047342763,0.21236930326839443
MPPS\MPPS\men\Screenshot 2024-11-17 013646.png,0.4512958205395225,0.3033381407083342,0.31939451492036186,0.16012791681744035
MPPS\MPPS\men\Screenshot 2024-11-17 013731.png,0.443961216548948,0.2734285791362715,0.3501260470921163,0.18365325401177804
MPPS\MPPS\men\Screenshot 2024-11-17 013846.png,0.47518862548582286,0.2828112858927864,0.3433829126177728,0.18792311910791418
MPPS\MPPS\men\Screenshot 2024-11-17 013858.png,0.43218360222743624,0.27896643464478904,0.31940996486371775,0.17346415417741298
MPPS\MPPS\men\Screenshot 2024-11-17 013922.png,0.41056120111383265,0.27735825757619176,0.3273326366449593,0.17245923497017507
MPPS\MPPS\men\Screenshot 2024-11-17 013941.png,0.4429610821368768,0.27243180382190163,0.3492648316241775,0.18220263701123918
MPPS\MPPS\men\Screenshot 2024-11-17 014000.png,0.4528348326241864,0.2720384597608325,0.3124876175785177,0.1737279325120622
MPPS\MPPS\men\Screenshot 2024-11-17 014027.png,0.45838463841257016,0.2890164441336513,0.3052588556946032,0.16650987012523258
MPPS\MPPS\men\Screenshot 2024-11-17 014040.png,0.46116282677904485,0.28792688632085506,0.3869836641848781,0.21297470875156638
