image_name,leg_length,torso_length,shoulder_width,hip_width
MPPS\MPPS\women\3.jpeg,0.45044389300285215,0.2876074289050328,0.24717348688648683,0.13443280210118036
MPPS\MPPS\women\Screenshot 2024-11-17 001027.png,0.4260461734824661,0.18604244493762975,0.1611658094646884,0.09358709257354876
MPPS\MPPS\women\Screenshot 2024-11-17 001225.png,0.4922684356809271,0.2601208735004316,0.2650949917322707,0.15164127045602174
MPPS\MPPS\women\Screenshot 2024-11-17 001425.png,0.5098883574424727,0.3025756306156903,0.2567780201238472,0.1346768385433238
MPPS\MPPS\women\Screenshot 2024-11-17 001446.png,0.48758949894484216,0.2692216341737781,0.25857433328946683,0.14605019690140897
MPPS\MPPS\women\Screenshot 2024-11-17 001455.png,0.4956013529488167,0.2767842827426188,0.2473640277522523,0.12727399828966404
MPPS\MPPS\women\Screenshot 2024-11-17 001503.png,0.515356816481146,0.25692084156062783,0.22788661142474737,0.12006970007799403
MPPS\MPPS\women\Screenshot 2024-11-17 001517.png,0.5339245223758554,0.2803990078469873,0.23844508576807366,0.13322723931341776
MPPS\MPPS\women\Screenshot 2024-11-17 001638.png,0.4600857296322065,0.2564217301426816,0.2611414046441849,0.1861262492605245
MPPS\MPPS\women\Screenshot 2024-11-17 001755.png,0.4395441837438376,0.2641585387660788,0.25003999041592195,0.14406117788535602
MPPS\MPPS\women\Screenshot 2024-11-17 001827.png,0.47626791525942863,0.2729293385050491,0.26987617080679016,0.14381322416319714
MPPS\MPPS\women\Screenshot 2024-11-17 002920.png,0.4385450341957977,0.2756179569345801,0.3023485036100812,0.15663473332105485
MPPS\MPPS\women\Screenshot 2024-11-17 002947.png,0.4920134587859279,0.27851491082426666,0.2961823531236536,0.18994730942863552
MPPS\MPPS\women\Screenshot 2024-11-17 003114.png,0.4526567630514094,0.28254378474818254,0.35945628485517833,0.178516638067805
MPPS\MPPS\women\Screenshot 2024-11-17 003146.png,0.48603299931720456,0.22592587335139425,0.2980679031925338,0.1745667602217849
MPPS\MPPS\women\Screenshot 2024-11-17 003301.png,0.4430315631493474,0.2497876605039656,0.29975171974932957,0.1713505861536911
MPPS\MPPS\women\Screenshot 2024-11-17 003315.png,0.4934799908083093,0.23987760217105614,0.3043803894725075,0.17471765766703384
MPPS\MPPS\women\Screenshot 2024-11-17 003411.png,0.4863881982762844,0.24997587899523,0.33449640491575044,0.18804783665865754
MPPS\MPPS\women\Screenshot 2024-11-17 003507.png,0.4743970920384747,0.24239651046915356,0.2907299353267247,0.16951226273097353
MPPS\MPPS\women\Screenshot 2024-11-17 003542.png,0.4746188165071932,0.24413324796554503,0.2842714923521344,0.16776495923721077
MPPS\MPPS\women\Screenshot 2024-11-17 003644.png,0.5074731175732756,0.2537059327673412,0.29430234653535564,0.17890819371882885
MPPS\MPPS\women\Screenshot 2024-11-17 003731.png,0.47174617617619613,0.2411821818581688,0.2896001600055476,0.17422508555613045
MPPS\MPPS\women\Screenshot 2024-11-17 003750.png,0.4977410700870737,0.26229870001268935,0.333001786543743,0.20028993079377463
MPPS\MPPS\women\Screenshot 2024-11-17 003819.png,0.48828864279432177,0.245468779866195,0.31617081821512866,0.15166129027650468
MPPS\MPPS\women\Screenshot 2024-11-17 003839.png,0.4635651362418535,0.27228277179491434,0.3744827561900779,0.1828937089498616
MPPS\MPPS\women\Screenshot 2024-11-17 003922.png,0.4580262206386666,0.25438543358770616,0.30769676829663145,0.15580296017670722
MPPS\MPPS\women\Screenshot 2024-11-17 003950.png,0.505177090967026,0.24720423932938693,0.28582746251918834,0.1530220608286203
MPPS\MPPS\women\Screenshot 2024-11-17 004059.png,0.46508915143071433,0.2512686174095891,0.33619993231321454,0.1733526375636304
MPPS\MPPS\women\Screenshot 2024-11-17 004159.png,0.47992413404827194,0.25981425401329816,0.3537389771230511,0.18774039874262413
